# IMMUTABLE ARTIFACT. Do not edit, do not regenerate in place. Supersede with a
# new dated file if a later data vintage is ever needed.
# Purpose: pin the derived return series behind the DSR figures quoted in
#   findings/dsr_convention_2026_08.md and RESULTS.md, so those numbers are
#   reproducible from committed history alone (data/ is gitignored).
# Frozen config: PRODUCTION_CONFIG, SHA-256 ac8919618ca6d5c6515ad9c26437f3fe28f1b4af3d4f37aeefcf989d0bce8753
#   TSMOM lookbacks (28, 60); SMA(200) regime gate on basket close;
#   equal-weight 7-major basket BTC/ETH/BNB/SOL/ADA/XRP/DOGE, monthly ('MS')
#   rebalance + on-N_active-change; fee_rate 0.0010; slippage_rate 0.0005;
#   annualization_factor 365; signal_shift_bars 1; warmup_days 200.
# Data vintage: local data/binance_<ASSET>_USDT_1d.parquet snapshot as of
#   2026-08-26. Per-asset first/last bar in that snapshot:
#     BTC 2018-01-01..2026-05-27  ETH 2018-01-01..2026-05-28
#     BNB 2018-01-01..2026-05-28  SOL 2020-08-11..2026-05-28
#     ADA 2018-04-17..2026-05-28  XRP 2018-05-04..2026-05-28
#     DOGE 2019-07-05..2026-05-28
#   The panel is trimmed to the common last bar 2026-05-27 before the index is
#   built (the BTC parquet ends one bar earlier; the index builder refuses a
#   hole rather than shrinking the basket silently).
# Generated: 2026-08-26 on branch docs/honest-dsr-survivorship, parent commit
#   f6d1385.
# Read with: pandas.read_csv(path, comment="#", index_col=0, parse_dates=True)
# Series: VENUE-VERIFIED REPLAY WINDOW net daily returns — the already-selected
#   frozen config re-run over a historical window, NOT selection-OOS and NOT
#   forward data. Full backtest 2018-01-01..2026-05-27 gives annualized Sharpe
#   +1.3770; this file is the 2022-01-21..2026-05-27 slice, the window over
#   which findings/validation_multiexchange.md could check Binance against
#   independently sourced Bybit prices.
# Rows: 1588 daily bars, 2022-01-21 .. 2026-05-27
# Annualized Sharpe over the replay window (net of cost): +0.7217
# DSR at N=500, sharpe_std_dev = 1/sqrt(1588) ~= 0.0251  (minimal)      = 0.0614
# DSR at N=500, sharpe_std_dev = 0.7/sqrt(365)  ~= 0.0366  (conservative) = 0.0016
date,net_return
2022-01-21,-0.0
2022-01-22,-0.0
2022-01-23,0.0
2022-01-24,-0.0
2022-01-25,0.0
2022-01-26,-0.0
2022-01-27,-0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,-0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,-0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,-0.0
2022-02-09,0.0
2022-02-10,-0.0
2022-02-11,-0.0
2022-02-12,0.0
2022-02-13,-0.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,-0.0
2022-02-17,-0.0
2022-02-18,-0.0
2022-02-19,0.0
2022-02-20,-0.0
2022-02-21,-0.0
2022-02-22,0.0
2022-02-23,-0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,-0.0
2022-02-27,-0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,-0.0
2022-03-03,-0.0
2022-03-04,-0.0
2022-03-05,0.0
2022-03-06,-0.0
2022-03-07,-0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,-0.0
2022-03-11,0.0
2022-03-12,-0.0
2022-03-13,-0.0
2022-03-14,0.0
2022-03-15,-0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,-0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,-0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,-0.0
2022-03-29,0.0
2022-03-30,0.0
2022-03-31,-0.0
2022-04-01,0.0
2022-04-02,-0.0
2022-04-03,0.0
2022-04-04,-0.0
2022-04-05,0.0
2022-04-06,-0.0
2022-04-07,0.0
2022-04-08,-0.0
2022-04-09,0.0
2022-04-10,-0.0
2022-04-11,-0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,-0.0
2022-04-15,0.0
2022-04-16,-0.0
2022-04-17,-0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,-0.0
2022-04-21,-0.0
2022-04-22,-0.0
2022-04-23,-0.0
2022-04-24,-0.0
2022-04-25,0.0
2022-04-26,-0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,-0.0
2022-04-30,-0.0
2022-05-01,0.0
2022-05-02,-0.0
2022-05-03,-0.0
2022-05-04,0.0
2022-05-05,-0.0
2022-05-06,-0.0
2022-05-07,-0.0
2022-05-08,-0.0
2022-05-09,-0.0
2022-05-10,0.0
2022-05-11,-0.0
2022-05-12,-0.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,-0.0
2022-05-17,0.0
2022-05-18,-0.0
2022-05-19,0.0
2022-05-20,-0.0
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,-0.0
2022-05-24,0.0
2022-05-25,-0.0
2022-05-26,-0.0
2022-05-27,-0.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,0.0
2022-05-31,0.0
2022-06-01,-0.0
2022-06-02,0.0
2022-06-03,-0.0
2022-06-04,0.0
2022-06-05,-0.0
2022-06-06,0.0
2022-06-07,-0.0
2022-06-08,-0.0
2022-06-09,0.0
2022-06-10,-0.0
2022-06-11,-0.0
2022-06-12,-0.0
2022-06-13,-0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,-0.0
2022-06-17,0.0
2022-06-18,-0.0
2022-06-19,0.0
2022-06-20,0.0
2022-06-21,0.0
2022-06-22,-0.0
2022-06-23,0.0
2022-06-24,0.0
2022-06-25,0.0
2022-06-26,-0.0
2022-06-27,-0.0
2022-06-28,-0.0
2022-06-29,-0.0
2022-06-30,-0.0
2022-07-01,-0.0
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,0.0
2022-07-05,-0.0
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,-0.0
2022-07-09,0.0
2022-07-10,-0.0
2022-07-11,-0.0
2022-07-12,-0.0
2022-07-13,0.0
2022-07-14,0.0
2022-07-15,0.0
2022-07-16,0.0
2022-07-17,-0.0
2022-07-18,0.0
2022-07-19,0.0
2022-07-20,-0.0
2022-07-21,0.0
2022-07-22,-0.0
2022-07-23,0.0
2022-07-24,0.0
2022-07-25,-0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,0.0
2022-07-29,0.0
2022-07-30,0.0
2022-07-31,-0.0
2022-08-01,-0.0
2022-08-02,-0.0
2022-08-03,0.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-06,-0.0
2022-08-07,0.0
2022-08-08,0.0
2022-08-09,-0.0
2022-08-10,0.0
2022-08-11,-0.0
2022-08-12,0.0
2022-08-13,0.0
2022-08-14,0.0
2022-08-15,-0.0
2022-08-16,0.0
2022-08-17,-0.0
2022-08-18,-0.0
2022-08-19,-0.0
2022-08-20,0.0
2022-08-21,0.0
2022-08-22,-0.0
2022-08-23,0.0
2022-08-24,-0.0
2022-08-25,0.0
